isbn,book_name,cost,quantity,rating,pages,book_image_url,author_id,category_id,description,publisher_id
74021317,Cây Cam Ngọt Của Tôi,108000,53075.0,5.0,244,https://salt.tikicdn.com/ts/product/5e/18/24/2a6154ba08df6ce6161c13f4303fa19e.jpg,1,1,"'Cây Cam Ngọt Của Tôi' là một tác phẩm sâu sắc, khám phá những cung bậc cảm xúc con người. Cuốn sách đưa người đọc đến với một hành trình đầy suy ngẫm và xúc động. Với ngôn từ giản dị nhưng sâu lắng, nó chạm đến trái tim của mọi độc giả. Đây là lựa chọn tuyệt vời cho những ai đang tìm kiếm sự đồng cảm và hiểu biết.",1
184466860,Hành Tinh Của Một Kẻ Nghĩ Nhiều,86000,7929.0,4.8,184,https://salt.tikicdn.com/ts/product/d7/99/24/17bff8d26027846b2d7478ad4ba83fea.jpg,2,2,"Cuốn sách 'Hành Tinh Của Một Kẻ Nghĩ Nhiều' mang đến một góc nhìn mới mẻ và đầy cảm hứng. Qua từng trang sách, độc giả sẽ cảm nhận được chiều sâu của tư duy và cảm xúc. Tác phẩm này không chỉ giải trí mà còn giúp người đọc chiêm nghiệm về cuộc sống. Một cuốn sách đáng đọc trong mọi thời điểm.",2
73787185,Những Tù Nhân Của Địa Lý,210000,17896.0,4.8,430,https://salt.tikicdn.com/ts/product/8d/96/9e/c0c1f23db756d50b1944dff9c3988753.jpg,3,3,'Những Tù Nhân Của Địa Lý' là hành trình khám phá nội tâm và thế giới xung quanh đầy thú vị. Tác phẩm chứa đựng những thông điệp ý nghĩa và chân thực. Người đọc sẽ tìm thấy sự đồng cảm trong từng câu chữ. Đây là một cuốn sách mang tính nhân văn sâu sắc.,1
52789367,Nhà Giả Kim (Tái Bản 2020),79000,24668.0,5.0,228,https://salt.tikicdn.com/ts/product/45/3b/fc/aa81d0a534b45706ae1eee1e344e80d9.jpg,4,4,"Với tựa đề 'Nhà Giả Kim (Tái Bản 2020)', tác phẩm gợi mở nhiều suy tư về con người và xã hội. Lối kể chuyện hấp dẫn kết hợp cùng nội dung gần gũi tạo nên một trải nghiệm đọc tuyệt vời. Đây là một lựa chọn lý tưởng cho những ai yêu thích sách giàu cảm xúc và triết lý.",3
147920903,Một Thoáng Ta Rực Rỡ Ở Nhân Gian,135000,10000.0,4.8,304,https://salt.tikicdn.com/ts/product/2f/b5/4e/a8208e9019c8510e8a8eebe06f50299c.jpg,5,1,"Với tựa đề 'Một Thoáng Ta Rực Rỡ Ở Nhân Gian', tác phẩm gợi mở nhiều suy tư về con người và xã hội. Lối kể chuyện hấp dẫn kết hợp cùng nội dung gần gũi tạo nên một trải nghiệm đọc tuyệt vời. Đây là một lựa chọn lý tưởng cho những ai yêu thích sách giàu cảm xúc và triết lý.",1
3304875,Điều Kỳ Diệu Của Tiệm Tạp Hóa NAMIYA (Tái Bản),105000,25272.0,4.8,358,https://salt.tikicdn.com/ts/product/dd/49/7f/ab94b8b2e35c49fc38b063fae4e8266a.jpg,6,5,"Cuốn sách 'Điều Kỳ Diệu Của Tiệm Tạp Hóa NAMIYA (Tái Bản)' mang đến một góc nhìn mới mẻ và đầy cảm hứng. Qua từng trang sách, độc giả sẽ cảm nhận được chiều sâu của tư duy và cảm xúc. Tác phẩm này không chỉ giải trí mà còn giúp người đọc chiêm nghiệm về cuộc sống. Một cuốn sách đáng đọc trong mọi thời điểm.",4
167940010,Thao Túng Tâm Lý,169000,8152.0,4.8,328,https://salt.tikicdn.com/ts/product/90/49/97/ec88ab408c1997378344486c94dbac40.jpg,7,2,'Thao Túng Tâm Lý' là hành trình khám phá nội tâm và thế giới xung quanh đầy thú vị. Tác phẩm chứa đựng những thông điệp ý nghĩa và chân thực. Người đọc sẽ tìm thấy sự đồng cảm trong từng câu chữ. Đây là một cuốn sách mang tính nhân văn sâu sắc.,5
117238177,Thư Viện Nửa Đêm,150000,7166.0,4.8,424,https://salt.tikicdn.com/ts/product/8e/32/3d/e4487c4c7e335bbda4f06dd54d8e35b8.jpg,8,1,'Thư Viện Nửa Đêm' là hành trình khám phá nội tâm và thế giới xung quanh đầy thú vị. Tác phẩm chứa đựng những thông điệp ý nghĩa và chân thực. Người đọc sẽ tìm thấy sự đồng cảm trong từng câu chữ. Đây là một cuốn sách mang tính nhân văn sâu sắc.,1
189643105,Không Phải Sói Nhưng Cũng Đừng Là Cừu -Tặng kèm bookmark 2 mặt,128000,4630.0,4.8,296,https://salt.tikicdn.com/ts/product/5b/96/23/348b84ca8e0d0b49bf9c8d9595336e69.jpg,9,2,"'Không Phải Sói Nhưng Cũng Đừng Là Cừu -Tặng kèm bookmark 2 mặt' là một tác phẩm sâu sắc, khám phá những cung bậc cảm xúc con người. Cuốn sách đưa người đọc đến với một hành trình đầy suy ngẫm và xúc động. Với ngôn từ giản dị nhưng sâu lắng, nó chạm đến trái tim của mọi độc giả. Đây là lựa chọn tuyệt vời cho những ai đang tìm kiếm sự đồng cảm và hiểu biết.",2
199216988,Càng Bình Tĩnh Càng Hạnh Phúc,139000,3980.0,4.8,352,https://salt.tikicdn.com/ts/product/ca/b9/76/3496cc7fd438e19e0a5732cba25e0aee.png,10,2,"'Càng Bình Tĩnh Càng Hạnh Phúc' là một tác phẩm sâu sắc, khám phá những cung bậc cảm xúc con người. Cuốn sách đưa người đọc đến với một hành trình đầy suy ngẫm và xúc động. Với ngôn từ giản dị nhưng sâu lắng, nó chạm đến trái tim của mọi độc giả. Đây là lựa chọn tuyệt vời cho những ai đang tìm kiếm sự đồng cảm và hiểu biết.",2
